startingAirport,destinationAirport,travelDuration,totalTravelDistance
14,5,392.9571677930448,901.6730072058363
14,6,455.25360452618986,1059.4369841623914
14,7,353.6373006045597,893.9336076917474
14,8,364.3607749902417,713.5978141300876
14,9,583.5415359432546,2539.3334848967097
14,10,430.2721608307815,1035.8030488616696
14,11,443.69679676396635,1339.0771181808243
14,12,801.6755818874312,2828.629792636479
14,13,408.1838017019592,1027.186374431031
14,15,657.4685425767289,2734.3758816966397
15,0,602.8494450157807,2624.1558920529096
15,1,610.0376840529074,2850.5645696953407
15,2,609.2858483483484,2688.2071205821208
15,3,435.81127747529746,1339.5231901593063
15,4,491.27840909090907,1890.6979748603353
15,5,577.0225062748292,2512.0691644088365
15,6,589.092190889371,2783.7383682323257
15,7,597.711782260417,2686.3116207059034
15,8,627.9987927309696,2901.1634261024274
15,9,423.42568785293764,1049.6722335696263
15,10,614.982740705903,2797.8916098830787
15,11,655.2721780879194,3084.8850906154935
15,12,427.1116861200956,852.8570102657854
15,13,534.9041138421734,2199.567503234153
15,14,600.1102474588694,2747.666769533435
